"G_i"	"G_j"
134	304
235	271
1	40
79	195
276	344
531	532
71	121
115	122
134	577
134	582
189	473
304	577
304	582
400	531
400	532
577	582
72	276
72	335
72	344
74	132
121	122
138	293
189	314
189	498
189	784
276	335
314	473
314	498
314	784
335	344
473	498
473	784
498	784
68	337
74	509
94	735
115	117
115	121
171	455
211	400
258	276
258	496
276	496
511	705
9	40
35	705
71	122
74	131
74	134
74	135
74	304
117	121
117	122
117	239
121	239
122	239
131	132
132	509
135	304
171	521
189	200
258	312
276	312
280	335
305	680
312	344
400	539
411	414
423	521
531	686
609	721
1	9
1	104
11	104
11	313
28	90
28	316
28	323
40	104
40	750
57	400
57	531
57	532
72	280
72	471
74	130
74	680
90	316
90	323
104	133
107	781
115	237
115	239
115	452
117	367
121	367
121	452
122	367
122	452
129	135
129	753
130	132
130	135
130	271
130	509
131	135
132	136
133	136
134	135
168	721
171	188
171	679
200	314
200	473
200	498
200	784
211	531
211	532
230	504
250	276
250	312
250	344
276	280
276	471
277	312
280	344
289	680
316	323
335	471
337	490
344	471
348	509
348	680
400	686
425	680
509	680
526	607
526	705
530	539
530	769
532	686
539	769
607	705
1	492
1	750
1	785
9	35
9	750
11	16
11	132
11	133
11	136
11	140
11	402
11	425
11	439
11	680
14	280
16	132
16	136
16	313
18	466
25	171
25	180
25	521
28	346
28	584
35	40
35	250
35	276
35	312
35	344
35	482
35	668
35	750
40	306
40	492
40	705
40	785
46	47
46	49
46	64
47	49
47	138
47	293
49	244
57	211
57	224
57	539
57	686
57	761
68	367
68	490
71	115
71	452
72	258
72	283
72	312
72	496
72	509
74	121
74	133
74	140
74	289
74	425
74	529
75	547
79	676
99	565
100	325
100	555
104	313
115	367
115	490
117	237
117	452
117	490
121	237
121	509
121	531
122	124
122	135
122	237
122	441
124	452
129	130
129	131
129	133
129	136
129	300
129	348
129	529
129	755
130	131
130	136
130	235
130	289
130	304
130	529
130	551
130	680
130	753
131	289
131	300
131	304
131	509
131	529
131	680
131	753
132	133
132	140
132	289
132	313
132	439
132	529
132	680
133	313
133	348
133	680
134	509
135	509
135	529
136	302
136	313
136	348
136	680
138	271
140	402
140	425
140	439
140	680
145	171
145	721
165	288
168	609
171	180
171	230
171	263
171	413
171	481
171	495
171	504
171	508
171	695
171	696
171	705
180	521
180	542
195	676
211	220
211	224
211	539
211	686
211	761
220	400
220	686
224	400
224	531
224	532
224	539
224	686
224	761
235	551
235	787
237	239
237	367
239	367
239	452
239	490
244	598
244	742
250	258
250	277
250	705
258	277
258	280
258	283
258	335
258	344
258	509
271	288
271	293
271	551
271	598
271	787
276	277
276	283
276	482
276	509
276	705
277	280
277	344
280	283
280	312
280	471
280	496
280	509
283	312
283	335
283	344
283	496
283	509
289	348
289	439
289	509
300	753
304	509
305	348
305	463
305	479
305	509
306	309
306	531
306	532
309	531
309	532
312	335
312	496
312	509
312	668
312	705
314	497
316	698
323	346
328	560
335	496
335	509
337	341
337	367
344	482
344	496
344	509
344	705
346	698
367	423
367	441
367	452
367	490
367	521
367	542
400	530
400	761
400	769
402	425
402	439
402	680
413	495
413	661
413	695
413	696
425	439
439	680
443	756
445	447
452	490
455	521
463	479
482	705
492	750
492	785
495	695
495	696
496	509
508	521
509	529
529	753
530	774
531	536
531	539
531	761
532	539
532	761
536	686
539	686
539	761
539	774
560	735
661	679
668	705
686	761
695	696
750	785
769	774
1	11
1	133
