"G_i"	"G_j"
1	139
1	227
1	313
1	349
1	424
1	433
1	480
1	516
1	526
1	607
1	705
9	526
9	607
9	705
9	768
11	40
11	68
11	74
11	130
11	131
11	134
11	135
11	139
11	229
11	272
11	289
11	302
11	304
11	305
11	401
11	424
11	433
11	492
11	516
11	643
11	693
11	727
11	750
11	785
11	786
13	72
13	255
13	258
13	276
13	277
13	280
13	283
13	312
13	335
13	344
13	471
13	496
13	509
14	72
14	276
14	335
14	344
14	462
14	471
15	132
16	68
16	100
16	104
16	130
16	133
16	140
16	229
16	272
16	302
16	305
16	402
16	425
16	439
16	440
16	516
16	555
16	613
16	680
16	693
16	727
16	786
18	35
18	250
18	276
18	344
18	482
18	511
18	676
18	705
20	144
20	480
22	171
22	423
22	455
22	508
22	509
22	521
22	608
22	739
25	188
25	413
25	437
25	455
25	495
25	508
25	520
25	542
25	695
25	696
28	698
28	700
35	171
35	258
35	277
35	466
35	511
35	538
35	669
35	676
35	768
40	57
40	121
40	133
40	139
40	145
40	171
40	211
40	220
40	224
40	227
40	309
40	313
40	337
40	349
40	400
40	424
40	433
40	480
40	516
40	526
40	531
40	532
40	539
40	607
40	667
40	669
40	686
40	761
46	66
46	129
46	131
46	135
46	138
46	165
46	228
46	244
46	271
46	272
46	288
46	290
46	293
46	300
46	443
46	445
46	447
46	529
46	598
46	614
46	681
46	753
46	756
47	64
47	68
47	74
47	132
47	166
47	234
47	235
47	244
47	271
47	288
47	290
47	291
47	337
47	367
47	594
47	598
47	742
49	64
49	74
49	128
49	129
49	130
49	131
49	132
49	133
49	136
49	138
49	237
49	238
49	271
49	272
49	285
49	289
49	290
49	293
49	300
49	336
49	348
49	509
49	510
49	543
49	598
49	608
49	664
49	680
49	683
49	704
49	742
49	747
49	752
49	753
49	781
53	65
53	127
53	171
53	263
53	297
53	413
53	423
53	435
53	455
53	491
53	495
53	521
53	547
53	591
53	661
53	679
53	695
53	696
53	741
57	121
57	145
57	220
57	306
57	309
62	539
64	129
64	131
64	135
64	165
64	228
64	288
64	300
64	443
64	529
64	614
64	753
64	756
65	127
65	171
65	263
65	297
65	413
65	435
65	455
65	491
65	495
65	591
65	661
65	679
65	695
65	696
65	741
66	130
66	445
66	447
66	598
66	606
66	681
68	115
68	117
68	121
68	122
68	130
68	132
68	135
68	136
68	140
68	229
68	239
68	272
68	291
68	302
68	305
68	313
68	341
68	402
68	425
68	438
68	439
68	441
68	452
68	532
68	593
68	594
68	680
68	693
68	694
68	705
68	727
71	117
71	124
71	180
71	239
71	295
71	337
71	490
71	531
71	536
71	542
71	595
72	250
72	253
72	255
72	277
72	462
74	122
74	129
74	136
74	138
74	158
74	237
74	238
74	239
74	285
74	293
74	300
74	336
74	348
74	401
74	402
74	439
74	643
74	683
74	684
74	704
74	747
74	753
79	314
79	497
90	346
94	113
94	234
94	400
94	705
99	568
100	391
100	440
100	516
100	613
100	685
104	132
104	136
